t,v
6.24e-05,-0.533855
6.25e-05,-0.535175
6.26e-05,-0.536496
6.27e-05,-0.537817
6.28e-05,-0.539138
6.29e-05,-0.540459
6.3e-05,-0.541781
6.31e-05,-0.543102
6.32e-05,-0.544424
6.33e-05,-0.545746
6.34e-05,-0.547068
6.35e-05,-0.54839
6.36e-05,-0.549712
6.37e-05,-0.551035
6.38e-05,-0.552357
6.39e-05,-0.553679
6.4e-05,-0.555002
6.41e-05,-0.556325
6.42e-05,-0.557648
6.43e-05,-0.55897
6.44e-05,-0.560293
6.45e-05,-0.561616
6.46e-05,-0.562939
6.47e-05,-0.564262
6.48e-05,-0.565586
6.49e-05,-0.566909
6.5e-05,-0.568232
6.51e-05,-0.569555
6.52e-05,-0.570879
6.53e-05,-0.572202
6.54e-05,-0.573525
6.55e-05,-0.574849
6.56e-05,-0.576172
6.57e-05,-0.577495
6.58e-05,-0.578819
6.59e-05,-0.580142
6.6e-05,-0.581465
6.61e-05,-0.582788
6.62e-05,-0.584112
6.63e-05,-0.585435
6.64e-05,-0.586758
6.65e-05,-0.588081
6.66e-05,-0.589404
6.67e-05,-0.590727
6.68e-05,-0.59205
6.69e-05,-0.593373
6.7e-05,-0.594696
6.71e-05,-0.596019
6.72e-05,-0.597341
6.73e-05,-0.598664
6.74e-05,-0.599986
6.75e-05,-0.601308
6.76e-05,-0.602631
6.77e-05,-0.603953
6.78e-05,-0.605275
6.79e-05,-0.606597
6.8e-05,-0.607918
6.81e-05,-0.60924
6.82e-05,-0.610562
6.83e-05,-0.611883
6.84e-05,-0.613204
6.85e-05,-0.614525
6.86e-05,-0.615846
6.87e-05,-0.617167
6.88e-05,-0.618487
6.89e-05,-0.619808
6.9e-05,-0.621128
6.91e-05,-0.622448
6.92e-05,-0.623768
6.93e-05,-0.625087
6.94e-05,-0.626407
6.95e-05,-0.627726
6.96e-05,-0.629045
6.97e-05,-0.630363
6.98e-05,-0.631682
6.99e-05,-0.633
7e-05,-0.634318
7.01e-05,-0.635636
7.02e-05,-0.636954
7.03e-05,-0.638271
7.04e-05,-0.639588
7.05e-05,-0.640905
7.06e-05,-0.642222
7.07e-05,-0.643538
7.08e-05,-0.644854
7.09e-05,-0.64617
7.1e-05,-0.647485
7.11e-05,-0.6488
7.12e-05,-0.650115
7.13e-05,-0.651429
7.14e-05,-0.652744
7.15e-05,-0.654058
7.16e-05,-0.655371
7.17e-05,-0.656684
7.18e-05,-0.657997
7.19e-05,-0.65931
7.2e-05,-0.660622
7.21e-05,-0.661934
7.22e-05,-0.663246
7.23e-05,-0.664557
7.24e-05,-0.665868
7.25e-05,-0.667178
7.26e-05,-0.668488
7.27e-05,-0.669798
7.28e-05,-0.671108
7.29e-05,-0.672417
7.3e-05,-0.673725
7.31e-05,-0.675033
7.32e-05,-0.676341
7.33e-05,-0.677649
7.34e-05,-0.678956
7.35e-05,-0.680262
7.36e-05,-0.681568
7.37e-05,-0.682874
7.38e-05,-0.684179
7.39e-05,-0.685484
7.4e-05,-0.686789
7.41e-05,-0.688093
7.42e-05,-0.689396
