t,i
9.54e-05,-0.64918
9.55e-05,-0.648634
9.56e-05,-0.648086
9.57e-05,-0.647537
9.58e-05,-0.646986
9.59e-05,-0.646433
9.6e-05,-0.645879
9.61e-05,-0.645323
9.62e-05,-0.644766
9.63e-05,-0.644207
9.64e-05,-0.643646
9.65e-05,-0.643084
9.66e-05,-0.64252
9.67e-05,-0.641954
9.68e-05,-0.641387
9.69e-05,-0.640818
9.7e-05,-0.640247
9.71e-05,-0.639675
9.72e-05,-0.639102
9.73e-05,-0.638526
9.74e-05,-0.637949
9.75e-05,-0.637371
9.76e-05,-0.636791
9.77e-05,-0.636209
9.78e-05,-0.635626
9.79e-05,-0.635041
9.8e-05,-0.634455
9.81e-05,-0.633867
9.82e-05,-0.633277
9.83e-05,-0.632686
9.84e-05,-0.632094
9.85e-05,-0.631499
9.86e-05,-0.630904
9.87e-05,-0.630307
9.88e-05,-0.629708
9.89e-05,-0.629108
9.9e-05,-0.628506
9.91e-05,-0.627902
9.92e-05,-0.627298
9.93e-05,-0.626691
9.94e-05,-0.626083
9.95e-05,-0.625474
9.96e-05,-0.624863
9.97e-05,-0.624251
9.98e-05,-0.623637
9.99e-05,-0.623022
0.0001,-0.622405
0.0001001,-0.621786
0.0001002,-0.621167
0.0001003,-0.620545
0.0001004,-0.619923
0.0001005,-0.619299
0.0001006,-0.618673
0.0001007,-0.618046
0.0001008,-0.617417
0.0001009,-0.616787
0.000101,-0.616156
0.0001011,-0.615523
0.0001012,-0.614889
0.0001013,-0.614253
0.0001014,-0.613616
0.0001015,-0.612978
0.0001016,-0.612338
0.0001017,-0.611697
0.0001018,-0.611054
0.0001019,-0.61041
0.000102,-0.609764
0.0001021,-0.609117
0.0001022,-0.608469
0.0001023,-0.607819
0.0001024,-0.607168
0.0001025,-0.606516
0.0001026,-0.605862
0.0001027,-0.605207
0.0001028,-0.60455
0.0001029,-0.603893
0.000103,-0.603233
0.0001031,-0.602573
0.0001032,-0.601911
0.0001033,-0.601248
0.0001034,-0.600583
0.0001035,-0.599917
0.0001036,-0.59925
0.0001037,-0.598581
0.0001038,-0.597912
0.0001039,-0.59724
0.000104,-0.596568
0.0001041,-0.595894
0.0001042,-0.595219
0.0001043,-0.594543
0.0001044,-0.593865
0.0001045,-0.593186
0.0001046,-0.592506
0.0001047,-0.591824
0.0001048,-0.591142
0.0001049,-0.590458
0.000105,-0.589772
0.0001051,-0.589086
0.0001052,-0.588398
0.0001053,-0.587709
0.0001054,-0.587019
0.0001055,-0.586327
0.0001056,-0.585634
0.0001057,-0.58494
0.0001058,-0.584245
0.0001059,-0.583549
0.000106,-0.582851
0.0001061,-0.582152
0.0001062,-0.581452
0.0001063,-0.580751
0.0001064,-0.580048
0.0001065,-0.579345
0.0001066,-0.57864
0.0001067,-0.577934
0.0001068,-0.577227
0.0001069,-0.576518
0.000107,-0.575809
0.0001071,-0.575098
0.0001072,-0.574386
0.0001073,-0.573673
0.0001074,-0.572958
0.0001075,-0.572243
0.0001076,-0.571527
0.0001077,-0.570809
0.0001078,-0.57009
0.0001079,-0.56937
0.000108,-0.568649
0.0001081,-0.567927
0.0001082,-0.567203
